fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long,life_expectancy,mortality_risk,all_poverty,median_hh_income,sq_miles,pct_impoverished,pop_density
20157,Republic County,Kansas,KS,2271,2415,51.1,4686,51.53649167733675,39.82776407122262,-97.65061755377931,79.53043167,47.56141911,524.0,43921.0,717.37,0.11182244985061887,6.532193986366868
20161,Riley County,Kansas,KS,39909,35387,25.1,75296,46.99718444538887,39.29656769317891,-96.73515678683286,81.46338239,44.6085417,11709.0,49901.0,609.77,0.15550626859328517,123.48262459615921
20163,Rooks County,Kansas,KS,2469,2649,43.8,5118,51.75849941383353,39.35022578085977,-99.32501191657444,78.51311903,49.82413677,592.0,45268.0,890.53,0.11567018366549434,5.7471393439861655
20165,Rush County,Kansas,KS,1521,1581,47.6,3102,50.96711798839458,38.523127903204866,-99.3091530075558,79.28619305,47.37317575,360.0,45281.0,717.76,0.11605415860735009,4.321778867588052
20173,Sedgwick County,Kansas,KS,253201,258863,35.2,512064,50.552860579927504,37.68476831641511,-97.46098502204742,77.64533985,52.8370951,75334.0,52612.0,997.51,0.14711832895888013,513.3422221331115
20177,Shawnee County,Kansas,KS,86327,91957,38.9,178284,51.578941464180744,39.04151430752982,-95.75652929631045,77.74517835,52.56786957,18931.0,55387.0,544.02,0.10618451459469161,327.7158927980589
20195,Trego County,Kansas,KS,1450,1408,49.2,2858,49.26522043386985,38.914309508875114,-99.87283476983828,78.66056228,50.20939947,309.0,46756.0,889.48,0.10811756473058083,3.21311327966902
20197,Wabaunsee County,Kansas,KS,3497,3391,43.8,6888,49.23054587688734,38.953269933587535,-96.20499592102692,79.10112358,47.95385924,549.0,61502.0,794.3,0.07970383275261324,8.671786478660456
20199,Wallace County,Kansas,KS,790,785,43.1,1575,49.84126984126985,38.916681207931404,-101.76361597256924,79.47315893,47.03956449,179.0,47844.0,913.65,0.11365079365079366,1.7238548678377934
20207,Woodson County,Kansas,KS,1583,1587,48.3,3170,50.06309148264985,37.88669687608426,-95.74013435622689,76.91181132,52.76049867,571.0,35417.0,497.82,0.1801261829652997,6.367763448636054
20209,Wyandotte County,Kansas,KS,81294,83051,33.7,164345,50.53454622896954,39.11461543591877,-94.76455164790414,75.34751568,56.65211453,31432.0,43396.0,151.6,0.1912561988499802,1084.0699208443273
21007,Ballard County,Kentucky,KY,3992,4098,43.3,8090,50.655129789864034,37.05848196169252,-88.99925588833919,75.74200411,58.64451739,1277.0,45074.0,246.66,0.15784919653893695,32.798183734695534
